,label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
0,aniso_blobs,euclidean,KMeans,0.5029307512181149,0.0,0.5719437360967542,0.0,0.003761593500773112,0.006537328715894566
1,aniso_blobs,euclidean,Maiores Distancias,0.385726926647964,0.06412666241536324,0.3307337813909214,0.10989311386602651,0.002008334795633952,0.00505990164175555
2,aniso_blobs,manhattan,KMeans,0.49259813901607763,0.0,0.5719437360967542,0.0,0.002622548739115397,0.005678840107978557
3,aniso_blobs,manhattan,Maiores Distancias,0.39318240259007164,0.07905809144756842,0.30911915607861784,0.10479435989915149,0.0010431607564290364,0.0037566026953068177
4,blobs,euclidean,KMeans,0.6542369309222938,0.0,0.9702725900485715,0.0,0.002721889813741048,0.006122991056736121
5,blobs,euclidean,Maiores Distancias,0.5380888767929355,0.06215798550446541,0.7078419224706868,0.12298775385923694,0.0010487000147501627,0.0035699836809544748
6,blobs,manhattan,KMeans,0.6343922810065323,0.0,0.9702725900485715,0.0,0.006558481852213542,0.013375413983125558
7,blobs,manhattan,Maiores Distancias,0.4791753860901854,0.08594139050042518,0.6400751848625174,0.15403714284884318,0.0010744730631510417,0.004002489421854932
8,no_structure,euclidean,KMeans,0.37883756605069185,0.0,0.0,0.0,0.0027284860610961915,0.006082998118844414
9,no_structure,euclidean,Maiores Distancias,0.3504669604263501,0.021799498439465128,0.0,0.0,0.0006032466888427734,0.002742135213786721
10,no_structure,manhattan,KMeans,0.3788347203862176,0.0,0.0,0.0,0.000847633679707845,0.0030683976675545195
11,no_structure,manhattan,Maiores Distancias,0.3352264460469373,0.02495459254126445,0.0,0.0,0.001559138298034668,0.004622019905220429
12,noisy_circles,euclidean,KMeans,0.3829793211596884,0.0,-0.0025666652509938135,0.0,0.001737650235493978,0.0049383408736376104
13,noisy_circles,euclidean,Maiores Distancias,0.3366829214982081,0.02626397901423576,0.0046271017663185405,0.006140172231562291,0.0011995474497477213,0.003921958111372382
14,noisy_circles,manhattan,KMeans,0.3867560836568382,0.0,-0.0025666652509938135,0.0,0.002175792058308919,0.004920332880931941
15,noisy_circles,manhattan,Maiores Distancias,0.3320299082532788,0.029975602853765538,0.012568791466258725,0.01354367962127242,0.0006582975387573242,0.0021595628320670687
16,noisy_moons,euclidean,KMeans,0.4421775356745728,0.0,0.3986376264960995,0.0,0.001973676681518555,0.004569864775502573
17,noisy_moons,euclidean,Maiores Distancias,0.3899138494903837,0.030057750677033857,0.34775653606109275,0.04970859988364198,0.001344768206278483,0.003973417628044755
18,noisy_moons,manhattan,KMeans,0.45189788279384985,0.0,0.3986376264960995,0.0,0.001603555679321289,0.004484242809094812
19,noisy_moons,manhattan,Maiores Distancias,0.39635760901241723,0.02928426340727257,0.3560807735819447,0.09206916770956791,0.0018429199854532877,0.004710909923878702
20,varied_blobs,euclidean,KMeans,0.6389771762981927,0.0,0.7310122670410464,0.0,0.0021672407786051434,0.004877491131815772
21,varied_blobs,euclidean,Maiores Distancias,0.5219286288789143,0.07500628536549116,0.5302014180938824,0.044738653291673494,0.004424953460693359,0.009946324263729748
22,varied_blobs,manhattan,KMeans,0.6382232250006332,0.0,0.7310122670410464,0.0,0.0038515726725260415,0.0064887136316474055
23,varied_blobs,manhattan,Maiores Distancias,0.5520766882952822,0.0558502776585736,0.5204921487411086,0.042659711518055796,0.0005595763524373372,0.002738798874263056
